name	kind	book	page	roll	roll_pt	diff	damage	damage_pt	range	rate	clip	conceal	conceal_pt	notes_en	notes_pt	name_pt
Biggs X-5 Model R Protector	ranged	m20	452	Dex + Firearms	Des + Armas de Fogo	6	5	5	40	4	12	J	R	Technocracy sidearm. Revolver that chambers any loaded ammunition type at a button press; composite, invisible to metal detectors.	Arma de mão da Tecnocracia. Revólver que aceita qualquer munição carregada ao toque de um botão; compósito, invisível a detectores de metal.	Biggs X-5 Modelo R Protector
Biggs X-5 Model A Protector	ranged	m20	452	Dex + Firearms	Des + Armas de Fogo	6	5	5	40	4	12+1	J	R	Technocracy sidearm. May fire full-auto, bursts and sprays; composite, invisible to metal detectors.	Arma de mão da Tecnocracia. Pode disparar fogo automático, rajadas e varredura; compósito, invisível a detectores de metal.	Biggs X-5 Modelo A Protector
Biggs Mjollner Mk. IV	ranged	m20	452	Dex + Firearms	Des + Armas de Fogo	6	10	10	100	1	10	T	M	Technocracy sidearm. Tends to jam on a failed roll in unEnlightened hands.	Arma de mão da Tecnocracia. Tende a travar numa falha em mãos não Iluminadas.	Biggs Mjollner Mk. IV
Castle-Graves WW-3	ranged	m20	452	Dex + Firearms	Des + Armas de Fogo	6	8	8	200	3	50+1	N	N	Technocracy weapon. May fire full-auto, bursts and sprays.	Arma da Tecnocracia. Pode disparar fogo automático, rajadas e varredura.	Castle-Graves WW-3
Bolan Mk.13 Weapons System	ranged	m20	452	Dex + Firearms	Des + Armas de Fogo	6	-	-	-	-	-	N	N	Technocracy weapon: SMG (as AK-47, 50-shot clip) plus auto-shotgun (as MPS AA-12, 20-shot clip) plus grenade launcher (as M-79, six-shot magazine). Laser sights; requires Strength 3.	Arma da Tecnocracia: submetralhadora (como AK-47, pente de 50) mais escopeta automática (como MPS AA-12, pente de 20) mais lança-granadas (como M-79, carregador de seis). Mira laser; exige Força 3.	Sistema de Armas Bolan Mk.13
HIT Mark Chain-Gun	ranged	m20	452	Dex + Firearms	Des + Armas de Fogo	6	8	8	150	3	200	N	N	Technocracy weapon. May fire full-auto, bursts and sprays.	Arma da Tecnocracia. Pode disparar fogo automático, rajadas e varredura.	Metralhadora Rotativa HIT Mark
Short Bow	ranged	m20	452	Dex + Archery	Des + Arquearia	6	4	4	60	1	1	N	N	Nocking and drawing is an automatic action; Archery 3 fires in a single action.	Encaixar e retesar é ação automática; Arquearia 3 dispara numa única ação.	Arco Curto
Hunting Bow	ranged	m20	452	Dex + Archery	Des + Arquearia	6	5	5	100	1	1	N	N	Nocking and drawing is an automatic action; Archery 3 fires in a single action.	Encaixar e retesar é ação automática; Arquearia 3 dispara numa única ação.	Arco de Caça
Long Bow	ranged	m20	452	Dex + Archery	Des + Arquearia	6	5	5	120	1	1	N	N	Nocking and drawing is an automatic action; Archery 3 fires in a single action.	Encaixar e retesar é ação automática; Arquearia 3 dispara numa única ação.	Arco Longo
Crossbow, Commando	ranged	m20	452	Dex + Archery	Des + Arquearia	6	3	3	20	1	1	J	R	Collapsible: one turn to unfold plus one action to load. Crossbows take two automatic actions to reload.	Dobrável: um turno para abrir mais uma ação para carregar. Bestas levam duas ações automáticas para recarregar.	Besta Comando
Crossbow (Mage)	ranged	m20	452	Dex + Archery	Des + Arquearia	6	5	5	90	1	1	T	M	Crossbows take two automatic actions to reload.	Bestas levam duas ações automáticas para recarregar.	Besta (Mago)
Crossbow, Hvy.	ranged	m20	452	Dex + Archery	Des + Arquearia	6	6	6	100	1	1	N	N	Crossbows take two automatic actions to reload.	Bestas levam duas ações automáticas para recarregar.	Besta Pesada
Taser	ranged	m20	453	Dex + Firearms	Des + Armas de Fogo	6	5 (B)	5 (C)	5	1	1	P	B	Bashing damage; no extra damage from successes.	Dano de contusão; sem dano extra por sucessos.	Taser
Tear Gas	ranged	m20	453	Dex + Firearms	Des + Armas de Fogo	6	3 (B)	3 (C)	3	1	5	P	B	Bashing; no extra damage from successes. Target loses two dice for one turn per success.	Contusão; sem dano extra por sucessos. O alvo perde dois dados por um turno por sucesso.	Gás Lacrimogêneo
Pacification Spray	ranged	m20	453	Dex + Firearms	Des + Armas de Fogo	6	5 (B)	5 (C)	3	1	5	P	B	Technocratic. Bashing; no extra damage from successes. Target loses two dice for one turn per success.	Tecnocrático. Contusão; sem dano extra por sucessos. O alvo perde dois dados por um turno por sucesso.	Spray de Pacificação
.30 Caliber Machine Gun	ranged	m20	453	Dex + Firearms	Des + Armas de Fogo	6	12	12	800	5	100	N	N	Military weapon: Firearms specialty in Heavy Weapons. May fire full-auto, bursts and sprays.	Arma militar: especialização de Armas de Fogo em Armas Pesadas. Pode disparar fogo automático, rajadas e varredura.	Metralhadora Calibre .30
.50 Caliber Machine Gun	ranged	m20	453	Dex + Firearms	Des + Armas de Fogo	6	16	16	1000	5	200	N	N	Military weapon; not man-portable, vehicle-mounted. May fire full-auto, bursts and sprays.	Arma militar; não portátil, montada em veículo. Pode disparar fogo automático, rajadas e varredura.	Metralhadora Calibre .50
30 mm Cannon	ranged	m20	453	Dex + Firearms	Des + Armas de Fogo	6	15	15	1200	8	100	N	N	Military chain-gun carried by HIT Marks and heavy cyborgs; halves armor protection.	Canhão rotativo militar levado por HIT Marks e ciborgues pesados; reduz a proteção de armadura à metade.	Canhão de 30 mm
M-79 Grenade Launcher	ranged	m20	453	Dex + Firearms	Des + Armas de Fogo	6	6	6	400	1	1	N	N	Military weapon; see the Explosives chart.	Arma militar; ver a tabela de Explosivos.	Lança-Granadas M-79
M-19 Grenade Launcher	ranged	m20	453	Dex + Firearms	Des + Armas de Fogo	6	8	8	600	2	1	N	N	Military weapon; not man-portable, vehicle-mounted; see the Explosives chart.	Arma militar; não portátil, montada em veículo; ver a tabela de Explosivos.	Lança-Granadas M-19
Flamethrower	ranged	m20	453	Dex + Firearms	Des + Armas de Fogo	6	3 levels/turn (fire)	3 níveis/turno (fogo)	60	1	5	N	N	Military weapon; see the Explosives chart.	Arma militar; ver a tabela de Explosivos.	Lança-Chamas
Rocket Launcher	ranged	m20	453	Dex + Firearms	Des + Armas de Fogo	6	12-16	12-16	500+	1	1	N	N	Military weapon; see the Explosives chart.	Arma militar; ver a tabela de Explosivos.	Lança-Foguetes
Knife, Thrown	thrown	m20	453	Dex + Athletics	Des + Esportes	6	Str (L)	For (L)	-	-	-	P	B			Faca Arremessada
Shuriken	thrown	m20	453	Dex + Athletics	Des + Esportes	7	3 (L)	3 (L)	-	-	-	P	B			Shuriken
Spear	thrown	m20	453	Dex + Athletics	Des + Esportes	6	Str + 1 (L)	For + 1 (L)	-	-	-	N	N			Lança
Stone	thrown	m20	453	Dex + Athletics	Des + Esportes	5	Str (B)	For (C)	-	-	-	varies	varia			Pedra
Stone, Large	thrown	m20	453	Dex + Athletics	Des + Esportes	5	Str + 3 (B)	For + 3 (C)	-	-	-	N	N			Pedra Grande
Tomahawk, Thrown	thrown	m20	453	Dex + Athletics	Des + Esportes	6	Str + 1 (L)	For + 1 (L)	-	-	-	J	R			Tomahawk Arremessado
Crossbow (Dark Ages)	ranged	da	349	Dex + Archery	Des + Arquearia	6	3 (L)	3 (L)	90	-	-	L	M	Min. Strength 3. Armor piercing 2.	Força mínima 3. Perfuração de armadura 2.	Besta (Idade das Trevas)
Heavy Crossbow	ranged	da	349	Dex + Archery	Des + Arquearia	6	4 (L)	4 (L)	90	-	-	N	N	Min. Strength 4. Armor piercing 3.	Força mínima 4. Perfuração de armadura 3.	Besta Pesada (Idade das Trevas)
Longbow	ranged	da	349	Dex + Archery	Des + Arquearia	6	4 (L)	4 (L)	120	-	-	N	N	Min. Strength 4. Armor piercing 4.	Força mínima 4. Perfuração de armadura 4.	Arco Longo (Idade das Trevas)
Shortbow	ranged	da	349	Dex + Archery	Des + Arquearia	6	2 (L)	2 (L)	60	-	-	L	M	Min. Strength 3. Armor piercing 2.	Força mínima 3. Perfuração de armadura 2.	Arco Curto (Idade das Trevas)
Sling	ranged	da	349	Dex + Archery	Des + Arquearia	6	3 (B)	3 (C)	40	-	-	P	B	Min. Strength 2.	Força mínima 2.	Funda
Dagger	melee	da	349	Dex + Melee	Des + Armas Brancas	6	Str + 1 (L)	For + 1 (L)	20	-	-	C	R	Min. Strength 2. Armor piercing 2. Can be thrown (range 20).	Força mínima 2. Perfuração de armadura 2. Pode ser arremessada (alcance 20).	Adaga
Hatchet (Dark Ages)	melee	da	349	Dex + Melee	Des + Armas Brancas	6	Str + 1 (L)	For + 1 (L)	20	-	-	C	R	Min. Strength 2. Can be thrown (range 20, +1 difficulty).	Força mínima 2. Pode ser arremessada (alcance 20, dificuldade +1).	Machadinha (Idade das Trevas)
Javelin	thrown	da	349	Dex + Athletics	Des + Esportes	6	Str + 2 (L)	For + 2 (L)	50	-	-	N	N	Min. Strength 2. Armor piercing 2. In melee: Str (L), min. Strength 2.	Força mínima 2. Perfuração de armadura 2. Em combate corpo a corpo: For (L), Força mínima 2.	Dardo
Knife (Dark Ages)	melee	da	349	Dex + Melee	Des + Armas Brancas	6	Str (L)	For (L)	15	-	-	P	B	Min. Strength 1. Can be thrown (range 15, +1 difficulty).	Força mínima 1. Pode ser arremessada (alcance 15, dificuldade +1).	Faca (Idade das Trevas)
Rock	thrown	da	349	Dex + Athletics	Des + Esportes	7	Str (B)	For (C)	40	-	-	P	B	Min. Strength 2. +1 difficulty.	Força mínima 2. Dificuldade +1.	Pedra (Idade das Trevas)
Spear (Dark Ages)	melee	da	349	Dex + Melee	Des + Armas Brancas	6	Str + 2 (L)	For + 2 (L)	40	-	-	N	N	Min. Strength 2. Armor piercing 2. Two-handed with min. Strength 3: Str + 3 (L). Can be thrown (range 40).	Força mínima 2. Perfuração de armadura 2. Com as duas mãos e Força mínima 3: For + 3 (L). Pode ser arremessada (alcance 40).	Lança (Idade das Trevas)
Hand Ax	melee	da	349	Dex + Melee	Des + Armas Brancas	6	Str + 2 (L)	For + 2 (L)	-	-	-	L	M	Min. Strength 3.	Força mínima 3.	Machado de Mão
Battle-Ax	melee	da	349	Dex + Melee	Des + Armas Brancas	6	Str + 4 (L)	For + 4 (L)	-	-	-	N	N	Min. Strength 4. Two-handed.	Força mínima 4. Duas mãos.	Machado de Batalha
Pick Ax	melee	da	349	Dex + Melee	Des + Armas Brancas	6	Str + 2 (L)	For + 2 (L)	-	-	-	N	N	Min. Strength 4. Armor piercing 3.	Força mínima 4. Perfuração de armadura 3.	Picareta
Club (Dark Ages)	melee	da	349	Dex + Melee	Des + Armas Brancas	6	Str + 2 (B)	For + 2 (C)	-	-	-	C	R	Min. Strength 2.	Força mínima 2.	Clava (Idade das Trevas)
Mace (Dark Ages)	melee	da	349	Dex + Melee	Des + Armas Brancas	6	Str + 2 (L)	For + 2 (L)	-	-	-	L	M	Min. Strength 3.	Força mínima 3.	Maça (Idade das Trevas)
Morning Star	melee	da	349	Dex + Melee	Des + Armas Brancas	6	Str + 3 (L)	For + 3 (L)	-	-	-	L	M	Min. Strength 3.	Força mínima 3.	Estrela da Manhã
Quarterstaff	melee	da	349	Dex + Melee	Des + Armas Brancas	6	Str + 3 (B)	For + 3 (C)	-	-	-	N	N	Min. Strength 2. +2 dice to Sweep.	Força mínima 2. +2 dados para Rasteira.	Bordão
Warhammer	melee	da	349	Dex + Melee	Des + Armas Brancas	6	Str + 4 (B)	For + 4 (C)	-	-	-	N	N	Min. Strength 4. Two-handed.	Força mínima 4. Duas mãos.	Martelo de Guerra
Saber	melee	da	349	Dex + Melee	Des + Armas Brancas	6	Str + 2 (L)	For + 2 (L)	-	-	-	L	M	Min. Strength 3.	Força mínima 3.	Sabre
Broadsword	melee	da	349	Dex + Melee	Des + Armas Brancas	6	Str + 2 (L)	For + 2 (L)	-	-	-	N	N	Min. Strength 3. May be used two-handed with min. Strength 2: Str + 3 (L).	Força mínima 3. Pode ser usada com as duas mãos com Força mínima 2: For + 3 (L).	Espada Larga
Greatsword	melee	da	349	Dex + Melee	Des + Armas Brancas	6	Str + 4 (L)	For + 4 (L)	-	-	-	N	N	Min. Strength 4. Two-handed.	Força mínima 4. Duas mãos.	Montante
Halberd	melee	da	349	Dex + Melee	Des + Armas Brancas	7	Str + 4 (L)	For + 4 (L)	-	-	-	N	N	Min. Strength 3. Two-handed. Difficulty +1.	Força mínima 3. Duas mãos. Dificuldade +1.	Alabarda
Lance (Mounted)	melee	da	349	Dex + Melee	Des + Armas Brancas	6	Str + 3 (L)	For + 3 (L)	-	-	-	N	N	Min. Strength 3. Armor piercing 3.	Força mínima 3. Perfuração de armadura 3.	Lança de Cavalaria (Montado)
Pitchfork	melee	da	349	Dex + Melee	Des + Armas Brancas	6	Str + 1 (L)	For + 1 (L)	-	-	-	N	N	Min. Strength 2. Armor piercing 1. Two-handed.	Força mínima 2. Perfuração de armadura 1. Duas mãos.	Forcado
Clinch (Dark Ages)	maneuver	da	350	Dex + Brawl	Des + Briga	6	Str (C)	For (P)	-	-	-	-	-	(C) continues into further turns.	(C) continua nos turnos seguintes.	Agarrão (Idade das Trevas)
Great Blow	maneuver	da	350	Dex + Brawl/Melee	Des + Briga/Armas Brancas	7	Normal + 2	Normal + 2	-	-	-	-	-	Two more damage dice than the base attack.	Dois dados de dano a mais que o ataque básico.	Golpe Poderoso
Riposte	maneuver	da	350	Dex + Brawl/Melee	Des + Briga/Armas Brancas	7	Normal + 1	Normal + 1	-	-	-	-	-	Counterattack after a successful parry or block.	Contra-ataque depois de aparar ou bloquear com sucesso.	Ripostar
Stake (Dark Ages)	maneuver	da	350	Dex + Melee	Des + Armas Brancas	9	Special	Especial	-	-	-	-	-	Plunge a stake through a vampire's heart: damage per weapon or Str + 1 (L).	Cravar uma estaca no coração de um vampiro: dano conforme a arma ou For + 1 (L).	Estacar (Idade das Trevas)
Aiming (Dark Ages)	maneuver	da	350	Dex + Archery	Des + Arquearia	6	Weapon	Arma	-	-	-	-	-	+1 die per turn spent aiming.	+1 dado por turno gasto mirando.	Mirar (Idade das Trevas)
Hail of Arrows	maneuver	da	350	Dex + Archery	Des + Arquearia	6	Weapon	Arma	-	-	-	-	-	Requires Archery 3; long or medium range only; not part of a multiple action.	Exige Arquearia 3; só a longo ou médio alcance; não faz parte de ação múltipla.	Chuva de Flechas
Impale	maneuver	da	350	Dex + Archery	Des + Arquearia	9	Special	Especial	-	-	-	-	-	Pin the target with an arrow or bolt.	Prender o alvo com uma flecha ou virote.	Empalar
Suppressive Fire	maneuver	da	350	Dex + Archery	Des + Arquearia	4	Weapon	Arma	-	-	-	-	-	Keeps an advancing opponent back; each success may give an ally -1 difficulty.	Segura um oponente que avança; cada sucesso pode dar -1 de dificuldade a um aliado.	Fogo de Supressão
Klaive	melee	w20	302	Dex + Melee	Des + Armas Brancas	6	Str + 2 (A)	For + 2 (A)	-	-	-	J	R	Silver fetish weapon: werewolves cannot soak the damage except in breed form.	Fetiche de prata: lobisomens não absorvem o dano, salvo na forma natal.	Klaive
Grand Klaive	melee	w20	302	Dex + Melee	Des + Armas Brancas	7	Str + 3 (A)	For + 3 (A)	-	-	-	T	M	Silver fetish weapon: werewolves cannot soak the damage except in breed form.	Fetiche de prata: lobisomens não absorvem o dano, salvo na forma natal.	Grande Klaive
Sap (Werewolf)	melee	w20	302	Dex + Melee	Des + Armas Brancas	4	Str (B)	For (C)	-	-	-	P	B			Cassetete (Lobisomem)
Whip (Werewolf)	melee	w20	302	Dex + Melee	Des + Armas Brancas	6	Str + 1 (L)	For + 1 (L)	-	-	-	J	R	May entangle a limb at +1 difficulty.	Pode enredar um membro a dificuldade +1.	Chicote (Lobisomem)
Axe (Werewolf)	melee	w20	302	Dex + Melee	Des + Armas Brancas	7	Str + 3 (L)	For + 3 (L)	-	-	-	T	M			Machado (Lobisomem)
Bear Mace	ranged	w20	303	Dex + Firearms	Des + Armas de Fogo	6	4 (B)	4 (C)	3	1	3	P	B	Bashing; no extra damage from successes. Target loses two dice for one turn per success.	Contusão; sem dano extra por sucessos. O alvo perde dois dados por um turno por sucesso.	Spray de Pimenta para Ursos
